time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449989712	6.60519	-13.023	-2.83659	-0.419221	-1.06473	lidar	0.31081	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284
1477010450044722	6.48398	-13.0221	-2.49459	-0.377864	-0.815745	radar	6.14808	6.40137	-13.0799	6.4	-13.05	-2.72678	0
1477010450099732	6.31636	-12.9987	-2.57219	-0.379488	-0.750877	lidar	0.436831	6.26174	-13.0534	6.25	-13.05	-2.72678	0
1477010450154684	6.18222	-12.9526	-2.56211	-0.408225	-0.725656	radar	0.0822028	6.10143	-13.0076	6.1	-13	-2.72966	0.909888
1477010450209637	6.00985	-12.9186	-2.64624	-0.407038	-0.664547	lidar	0.413611	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988
1477010450259674	5.87593	-12.7866	-3.0222	-0.572508	-0.989081	radar	9.03749	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851
1477010450309711	5.71282	-12.7195	-3.09345	-0.588536	-0.938834	lidar	0.300334	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852
1477010450364717	5.59135	-12.6782	-2.7361	-0.561231	-0.733736	radar	5.97281	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995
1477010450419723	5.45065	-12.6118	-2.75702	-0.58166	-0.704784	lidar	0.113051	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995
1477010450474743	5.31584	-12.4936	-2.95529	-0.664558	-0.816228	radar	1.71621	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753
1477010450529764	5.16092	-12.4143	-2.99422	-0.674742	-0.764824	lidar	0.263462	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175
1477010450584712	5.0389	-12.3304	-2.88728	-0.693228	-0.70803	radar	0.476809	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989
1477010450639660	4.92129	-12.2321	-2.88064	-0.73103	-0.707034	lidar	0.0209931	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199
1477010450689678	4.81139	-12.1208	-2.94023	-0.77758	-0.73157	radar	0.380398	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929
1477010450739696	4.72323	-12.023	-2.91091	-0.820932	-0.743873	lidar	0.17572	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928
1477010450794748	4.61848	-11.8959	-2.96821	-0.873763	-0.771292	radar	0.194454	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471
1477010450849800	4.56782	-11.7533	-2.90782	-0.966735	-0.85047	lidar	0.439824	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247
